stock_id,stock_name,listing_date
6179,亞通,2002-05-17
6180,橘子,2002-05-21
6182,合晶,2002-05-16
6185,幃翔,2002-08-09
6186,新潤,2002-08-02
6187,萬潤,2002-09-27
6188,廣明,2002-08-27
6190,萬泰科,1998-02-04
6194,育富,2002-12-05
6195,詩肯,2002-10-21
6198,瑞築,2002-12-26
6199,天品,2016-10-07
6203,海韻電,2002-12-26
6204,艾華,2002-11-13
6207,雷科,2002-12-23
6208,日揚,2002-12-23
6210,慶生,2003-02-14
6212,理銘,2002-12-26
6217,中探針,2003-01-09
6218,豪勉,2003-01-14
6219,富旺,2003-02-26
6220,岳豐,2003-01-09
6221,晉泰,2003-01-06
6222,立軒,2003-01-09
6223,旺矽,2003-01-06
6227,茂綸,2003-01-14
6228,全譜,2003-01-21
6229,研通,2003-01-14
6231,系微,2003-01-23
6233,旺玖,2003-02-20
6234,高僑,2003-03-12
6236,中湛,2003-03-31
6237,驊訊,2003-04-21
6240,松崗,2003-05-30
6241,鑫永洋,2003-04-08
6242,立康,2003-04-23
6244,茂迪,2003-05-15
6245,立端,2003-05-19
6246,臺龍,2003-06-18
6248,沛波,2003-09-03
6259,百徽,2003-09-17
6261,久元,2004-03-29
6263,普萊德,2003-09-17
6264,富裔,2004-02-24
6265,方土昶,2003-10-24
6266,泰詠,2004-04-29
6270,倍微,2003-09-17
6274,台燿,2003-12-18
6275,元山,2004-12-23
6276,安鈦克,2003-10-30
6279,胡連,2003-11-26
6284,佳邦,2004-06-29
6290,良維,2005-06-03
6291,沛亨,2004-01-28
6292,迅德,2003-11-26
6294,智基,2004-01-13
6411,晶焱,2014-03-11
6417,韋僑,2015-10-08
6418,詠昇,2019-02-18
6419,京晨科,2014-12-29
6423,億而得,2026-01-22
6425,易發,2019-01-18
6432,今展科,2015-05-20
6435,大中,2016-01-07
6441,廣錠,2017-09-27
6461,益得,2018-03-28
6462,神盾,2015-12-23
6465,威潤,2015-11-20
6469,大樹,2016-03-30
6470,宇智,2015-11-03
6474,華豫寧,2025-11-25
6482,弘煜科,2016-06-13
6485,點序,2015-11-17
6486,互動,2016-09-13
6488,環球晶,2015-09-25
6492,生華科,2017-04-24
6494,九齊,2016-05-09
6496,科懋,2016-01-07
6498,久禾光,2025-05-20
6499,益安,2016-07-27
6506,雙邦,2011-05-03
6508,惠光,2004-03-22
6509,聚和,2004-04-12
6510,精測,2016-03-24
6512,啟發電,2016-03-25
6516,勤崴國際,2019-05-06
6517,保勝光學,2022-12-15
6523,達爾膚,2016-06-16
6527,明達醫,2019-12-25
6530,創威,2018-01-23
6532,瑞耘,2016-09-26
6535,順藥,2016-09-26
6538,倉和,2016-10-21
6542,隆中,2016-09-08
6546,正基,2022-05-24
6547,高端疫苗,2018-04-17
6548,長科*,2016-09-13
6556,勝品,2017-10-31
6560,欣普羅,2017-01-24
6561,是方,2018-06-05
6568,宏觀,2016-12-28
6569,醫揚,2016-12-21
6570,維田,2017-12-11
6574,霈方,2017-09-04
6576,逸達,2018-06-29
6577,勁豐,2017-03-21
6578,達邦蛋白,2018-09-18
6584,南俊國際,2023-05-18
6588,東典光電,2020-07-01
6590,普鴻,2018-12-24
6593,台灣銘板,2017-11-03
6596,寬宏藝術,2018-01-04
6597,立誠,2025-05-08
6603,富強鑫,2004-04-05
