event_id,stock_id,stock_name,signal_date,entry_percentile,entry_trigger,confirmed,extended,status,end_signal_date,end_reason
P5H-3491-2026-07-20,3491,昇達科,2026-07-20,92.63803680981594,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-4749-2026-07-20,4749,新應材,2026-07-20,95.70552147239265,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-4966-2026-07-20,4966,譜瑞-KY,2026-07-20,98.15950920245399,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-4979-2026-07-20,4979,華星光,2026-07-20,81.90184049079755,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-5289-2026-07-20,5289,宜鼎,2026-07-20,94.1717791411043,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-6121-2026-07-20,6121,新普,2026-07-20,97.85276073619632,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-6147-2026-07-20,6147,頎邦,2026-07-20,85.88957055214725,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-6188-2026-07-20,6188,廣明,2026-07-20,100.0,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-6510-2026-07-20,6510,精測,2026-07-20,99.079754601227,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-8299-2026-07-20,8299,群聯,2026-07-20,90.79754601226993,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-8358-2026-07-20,8358,金居,2026-07-20,90.1840490797546,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-3374-2026-07-21,3374,精材,2026-07-21,97.51552795031056,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-3529-2026-07-21,3529,力旺,2026-07-21,100.0,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-5274-2026-07-21,5274,信驊,2026-07-21,86.33540372670807,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-5371-2026-07-21,5371,中光電,2026-07-21,91.30434782608695,FIRST_TOP10_ENTRY,True,False,LAYOUT_CONFIRMED,,
P5H-6223-2026-07-21,6223,旺矽,2026-07-21,90.06211180124224,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-6274-2026-07-21,6274,台燿,2026-07-21,94.09937888198758,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-8155-2026-07-21,8155,博智,2026-07-21,87.88819875776397,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-3131-2026-07-22,3131,弘塑,2026-07-22,83.70607028753993,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-4743-2026-07-22,4743,合一,2026-07-22,90.09584664536742,FIRST_TOP10_ENTRY,True,False,LAYOUT_CONFIRMED,,
P5H-7828-2026-07-23,7828,創新服務,2026-07-23,84.59016393442623,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-1785-2026-07-24,1785,光洋科,2026-07-24,97.68211920529801,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-3324-2026-07-24,3324,雙鴻,2026-07-24,86.75496688741721,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-4991-2026-07-24,4991,環宇-KY,2026-07-24,91.05960264900662,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-5483-2026-07-24,5483,中美晶,2026-07-24,98.34437086092716,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-6291-2026-07-24,6291,沛亨,2026-07-24,96.02649006622516,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-8436-2026-07-24,8436,大江,2026-07-24,86.09271523178808,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-5439-2026-07-27,5439,高技,2026-07-27,93.10344827586206,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-6138-2026-07-27,6138,茂達,2026-07-27,90.0,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-8390-2026-07-27,8390,金益鼎,2026-07-27,87.93103448275862,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-6187-2026-07-28,6187,萬潤,2026-07-28,93.15068493150685,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-5536-2026-07-29,5536,聖暉*,2026-07-29,99.31740614334471,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-6488-2026-07-29,6488,環球晶,2026-07-29,94.19795221843003,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-3260-2026-07-30,3260,威剛,2026-07-30,98.27586206896551,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-3363-2026-07-30,3363,上詮,2026-07-30,87.24137931034483,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-3680-2026-07-31,3680,家登,2026-07-31,87.10801393728222,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-6509-2026-08-03,6509,聚和,2026-08-03,80.0,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-8415-2026-08-05,8415,大國鋼,2026-08-05,91.28787878787878,FIRST_TOP10_ENTRY,True,False,LAYOUT_CONFIRMED,,
P5H-8932-2026-08-06,8932,智通*,2026-08-06,90.0,FIRST_TOP10_ENTRY,False,False,NEW_CANDIDATE,,
P5H-6290-2026-08-07,6290,良維,2026-08-07,84.8249027237354,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-6469-2026-08-11,6469,大樹,2026-08-11,86.16600790513834,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-3163-2026-08-12,3163,波若威,2026-08-12,90.47619047619048,DIRECT_LAYOUT_CONFIRMATION,True,False,LAYOUT_CONFIRMED,,
P5H-3293-2026-08-13,3293,鈊象,2026-08-13,94.02390438247012,FIRST_TOP10_ENTRY,True,False,LAYOUT_CONFIRMED,,
